DATE,TB3MS,AAA relative to 10y,Baa relative to 10y,
1/1/1990,7.64,0.784761905,1.738571429,8.206666667
2/1/1990,7.74,0.749473684,1.671052632,8.473157895
3/1/1990,7.9,0.78,1.618181818,8.588636364
4/1/1990,7.77,0.678,1.516,8.7855
5/1/1990,7.74,0.706818182,1.653181818,8.758181818
6/1/1990,7.73,0.776666667,1.74047619,8.48
7/1/1990,7.62,0.770952381,1.724285714,8.471428571
8/1/1990,7.45,0.655652174,1.659565217,8.752608696
9/1/1990,7.36,0.670526316,1.742631579,8.893157895
10/1/1990,7.17,0.813181818,2.023181818,8.719545455
11/1/1990,7.06,0.904,2.227,8.392
12/1/1990,6.74,0.979,2.3595,8.075
1/1/1991,6.22,0.948095238,2.358571429,8.091904762
2/1/1991,5.94,0.974736842,2.213684211,7.854736842
3/1/1991,5.91,0.818,1.98,8.11
4/1/1991,5.65,0.819090909,1.903181818,8.039090909
5/1/1991,5.46,0.788181818,1.795909091,8.067727273
6/1/1991,5.57,0.723,1.678,8.284
7/1/1991,5.58,0.725909091,1.621818182,8.272727273
8/1/1991,5.33,0.851363636,1.745454545,7.9
9/1/1991,5.22,0.958,1.8645,7.65
10/1/1991,4.99,1.021363636,1.964090909,7.527272727
11/1/1991,4.56,1.064736842,2.036842105,7.417368421
12/1/1991,4.07,1.22,2.17047619,7.088571429
1/1/1992,3.8,1.167142857,2.097619048,7.032380952
2/1/1992,3.84,0.948947368,1.888421053,7.337894737
3/1/1992,4.04,0.806363636,1.706363636,7.542272727
4/1/1992,3.75,0.847619048,1.728571429,7.48047619
5/1/1992,3.63,0.8875,1.7375,7.392
6/1/1992,3.66,0.959545455,1.786363636,7.261818182
7/1/1992,3.21,1.222272727,1.992272727,6.844545455
8/1/1992,3.13,1.364285714,2.067142857,6.585714286
9/1/1992,2.91,1.505238095,2.201428571,6.415238095
10/1/1992,2.86,1.401904762,2.250952381,6.589047619
11/1/1992,3.13,1.220526316,2.084736842,6.873157895
12/1/1992,3.22,1.207272727,2.040454545,6.77
1/1/1993,3,1.305789474,2.066315789,6.6
2/1/1993,2.93,1.450526316,2.134736842,6.258947368
3/1/1993,2.95,1.607826087,2.170434783,5.975217391
4/1/1993,2.87,1.490952381,2.170952381,5.96952381
5/1/1993,2.96,1.394,2.1785,6.0355
6/1/1993,3.07,1.363636364,2.106818182,5.962727273
7/1/1993,3.04,1.36952381,2.128095238,5.805238095
8/1/1993,3.02,1.168636364,1.917272727,5.677727273
9/1/1993,2.95,1.297142857,1.981904762,5.36
10/1/1993,3.02,1.338,1.98,5.334
11/1/1993,3.1,1.204,1.9365,5.724
12/1/1993,3.06,1.157727273,1.910909091,5.774090909
1/1/1994,2.98,1.1735,1.898,5.7505
2/1/1994,3.25,1.102105263,1.790526316,5.973157895
3/1/1994,3.5,1.00173913,1.646521739,6.482608696
4/1/1994,3.68,0.91,1.550526316,6.972105263
5/1/1994,4.14,0.808095238,1.44047619,7.183333333
6/1/1994,4.14,0.864090909,1.546363636,7.101363636
7/1/1994,4.33,0.816,1.5055,7.298
8/1/1994,4.48,0.837391304,1.503478261,7.236086957
9/1/1994,4.62,0.881428571,1.520952381,7.457142857
10/1/1994,4.95,0.8235,1.4605,7.744
11/1/1994,5.29,0.7245,1.3575,7.955
12/1/1994,5.6,0.647619048,1.28952381,7.813809524
1/1/1995,5.71,0.6805,1.3025,7.7795
2/1/1995,5.77,0.790526316,1.380526316,7.469473684
3/1/1995,5.73,0.915652174,1.496521739,7.204782609
4/1/1995,5.65,0.963684211,1.536315789,7.062631579
5/1/1995,5.67,1.016363636,1.570454545,6.632727273
6/1/1995,5.47,1.134545455,1.732272727,6.168181818
7/1/1995,5.42,1.1325,1.7605,6.278
8/1/1995,5.4,1.07826087,1.704782609,6.48826087
9/1/1995,5.28,1.119,1.737,6.1975
10/1/1995,5.28,1.077619048,1.705238095,6.044761905
11/1/1995,5.36,1.085238095,1.754285714,5.93047619
12/1/1995,5.14,1.1095,1.779,5.7115
1/1/1996,5,1.151428571,1.80952381,5.652380952
2/1/1996,4.83,1.181,1.821,5.8055
3/1/1996,4.96,1.077619048,1.767619048,6.268571429
4/1/1996,4.95,0.990909091,1.684545455,6.511363636
5/1/1996,5.02,0.886818182,1.560909091,6.736818182
6/1/1996,5.09,0.7975,1.488,6.912
7/1/1996,5.15,0.779545455,1.487727273,6.865454545
8/1/1996,5.05,0.828181818,1.54,6.635454545
9/1/1996,5.09,0.824,1.513,6.832
10/1/1996,4.99,0.859090909,1.535454545,6.533636364
11/1/1996,5.03,0.9,1.583684211,6.203684211
12/1/1996,4.91,0.901428571,1.59047619,6.302380952
1/1/1997,5.03,0.84047619,1.517142857,6.579047619
2/1/1997,5.01,0.885789474,1.522105263,6.419473684
3/1/1997,5.14,0.865,1.488,6.6945
4/1/1997,5.16,0.840454545,1.451363636,6.885454545
5/1/1997,5.05,0.874761905,1.491904762,6.710952381
6/1/1997,4.93,0.916666667,1.526666667,6.493809524
7/1/1997,5.05,0.92,1.526818182,6.220454545
8/1/1997,5.14,0.922857143,1.518095238,6.298571429
9/1/1997,4.95,0.93952381,1.504285714,6.208571429
