yearmonth,volatility
1993-01-31,8.934175122263897e-07
1993-02-28,1.4607261152460997e-06
1993-03-31,1.1531113827221996e-06
1993-04-30,1.1679406472400583e-06
1993-05-31,1.0162215511619119e-06
1993-06-30,9.20421831945065e-07
1993-07-31,8.084653734189115e-07
1993-08-31,7.20628442353731e-07
1993-09-30,1.1025793743040914e-06
1993-10-31,7.142785649112689e-07
1993-11-30,8.61020387987084e-07
1993-12-31,6.982800827425684e-07
1994-01-31,6.27803702690958e-07
1994-02-28,9.817351340332077e-07
1994-03-31,1.5044657713960736e-06
1994-04-30,1.5127473456931409e-06
1994-05-31,6.376564165851669e-07
1994-06-30,6.588774936888771e-07
1994-07-31,5.011966664576093e-07
1994-08-31,4.829751739545824e-07
1994-09-30,7.297428658791778e-07
1994-10-31,7.741001930380769e-07
1994-11-30,1.049648343741838e-06
1994-12-31,6.491184566106864e-07
1995-01-31,5.559913377631645e-07
1995-02-28,3.7291745962085887e-07
1995-03-31,6.043428118479417e-07
1995-04-30,4.154601742660465e-07
1995-05-31,6.677725220277771e-07
1995-06-30,1.1272780107620726e-06
1995-07-31,7.940887666267245e-07
1995-08-31,5.535251667402781e-07
1995-09-30,5.088093724315298e-07
1995-10-31,5.67067620247439e-07
1995-11-30,3.811999428198456e-07
1995-12-31,6.742144597242358e-07
1996-01-31,8.91782320355782e-07
1996-02-29,1.1796403765986209e-06
1996-03-31,1.9666583647692545e-06
1996-04-30,1.4479074496743388e-06
1996-05-31,9.656585934815077e-07
1996-06-30,8.901390235319202e-07
1996-07-31,2.6298221645398757e-06
1996-08-31,7.137951559406469e-07
1996-09-30,9.586313680169554e-07
1996-10-31,6.837585499331003e-07
1996-11-30,6.290265093835497e-07
1996-12-31,1.8354224083279718e-06
1997-01-31,1.797239866972545e-06
1997-02-28,1.4272819818744049e-06
1997-03-31,1.7685912628757691e-06
1997-04-30,1.8274719971113088e-06
1997-05-31,1.7834748909840138e-06
1997-06-30,1.3713884593578431e-06
1997-07-31,1.5968375228999541e-06
1997-08-31,2.687582494554455e-06
1997-09-30,1.5438280900722057e-06
1997-10-31,4.492446347160212e-06
1997-11-30,2.4318160532222448e-06
1997-12-31,1.7436014332257473e-06
1998-01-31,1.7865855913853503e-06
1998-02-28,1.1534701527565493e-06
1998-03-31,8.637527132413663e-07
1998-04-30,1.1114457829955004e-06
1998-05-31,1.1071321879613141e-06
1998-06-30,1.427946377095076e-06
1998-07-31,1.3370166873834306e-06
1998-08-31,4.642907526524355e-06
1998-09-30,7.933018162670115e-06
1998-10-31,6.635663860836335e-06
1998-11-30,1.8022421367807317e-06
1998-12-31,1.9035665473531375e-06
1999-01-31,3.60902696576649e-06
1999-02-28,2.514921773443666e-06
1999-03-31,1.8093064297875796e-06
1999-04-30,2.132839897561569e-06
1999-05-31,2.4277111996725557e-06
1999-06-30,1.4203706417579178e-06
1999-07-31,3.0754417273770555e-06
1999-08-31,1.0804719938461184e-05
1999-09-30,1.2525468462665897e-05
1999-10-31,8.721652700312589e-06
1999-11-30,9.601093703624958e-06
1999-12-31,2.986603669315827e-05
2000-01-31,1.7146408353541138e-05
2000-02-29,1.5782972524579117e-05
2000-03-31,1.725532031643428e-05
2000-04-30,2.1714192652292152e-05
2000-05-31,1.432454616859336e-05
2000-06-30,4.241456150318047e-05
2000-07-31,1.1495695514465854e-05
2000-08-31,5.007995372419681e-05
2000-09-30,9.580001663951222e-06
